RAAA#,Sex,AnimalID,Name,DOB,BrdCds,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HG,GM
PM522,,C08 - 3036,C08 - WOOD EMMETT 3036,,,16,-2.8,48,71,0.14,0.68,20,-2,10,9,15,0.24,0.07,4,-0.12,0.02,165,45
PM523,,C08 - 2385,C08 - ODOHERTY   2385,,,13,-1.2,55,81,0.16,0.88,22,-4,8,7,15,0.2,0.05,4,-0.17,0.01,149,46
PM524,,C08 - 8355,C08 - FEDDES LIBERATION D108- 8355,,,13,-1.8,55,85,0.19,0.94,23,-4,9,7,16,0.47,0.08,14,-0.12,0.01,170,48
PM525,,C08 - 8269,C08 - FEDDES DEFENDER Y17-8269,,,14,-1.6,54,82,0.17,1.06,21,-4,12,8,16,0.45,0.05,3,-0.08,0.02,175,47
PM526,,C19 - D104,C19 - VF ACQUISITION D104,,,16,-3.2,50,74,0.15,0.7,23,-2,11,8,17,0.31,0.06,6,-0.02,0.02,180,46
PM527,,C19 - D172,C19 - VF SILVER BOW D172,,,14,-1.9,62,97,0.22,1.02,23,-1,13,9,17,0.32,0.05,15,0.03,0.01,188,49
PM528,,C19 - D706,C19 - DOING RIGHT,,,14,-2.8,50,76,0.16,0.55,25,-4,10,7,17,0.28,0.05,5,-0.15,0.01,180,47
PM529,,C19 - 3036,C19 - WOOD EMMETT 3036,,,17,-3.7,50,72,0.14,0.83,22,-1,10,10,17,0.22,0.06,4,-0.12,0.01,183,45
PM530,,C19 - 2385,C19 - ODOHERTY   2385,,,14,-2.2,56,83,0.16,1.02,23,-3,8,8,17,0.19,0.05,4,-0.18,0,167,45
PM531,,C19 - 8355,C19 - FEDDES LIBERATION D108- 8355,,,14,-2.7,56,87,0.19,1.09,24,-3,9,8,18,0.44,0.08,14,-0.12,0.01,188,48
PM532,,C19 - 8269,C19 - FEDDES DEFENDER Y17-8269,,,15,-2.6,56,83,0.17,1.21,22,-3,12,8,18,0.44,0.04,2,-0.09,0.01,193,47
PM533,,C83 - D104,C83 - VF ACQUISITION D104,,,13,-0.7,55,83,0.18,0.61,18,-2,11,7,17,0.32,0.05,8,0.02,0.03,182,48
PM534,,C83 - D172,C83 - VF SILVER BOW D172,,,11,0.6,67,105,0.24,0.93,18,-1,13,8,17,0.33,0.04,16,0.08,0.01,191,50
PM535,,C83 - D706,C83 - DOING RIGHT,,,11,-0.2,55,84,0.19,0.47,20,-4,10,6,18,0.29,0.05,6,-0.11,0.01,183,48
PM536,,C83 - 3036,C83 - WOOD EMMETT 3036,,,14,-1.2,55,81,0.16,0.74,17,-1,10,9,18,0.23,0.06,6,-0.09,0.02,186,46
PM537,,C83 - 2385,C83 - ODOHERTY   2385,,,11,0.3,61,91,0.19,0.94,19,-3,8,7,17,0.19,0.04,6,-0.14,0,170,47
PM538,,C83 - 8355,C83 - FEDDES LIBERATION D108- 8355,,,11,-0.2,61,95,0.21,1,19,-3,9,7,18,0.46,0.07,16,-0.09,0.01,191,49
PM539,,C83 - 8269,C83 - FEDDES DEFENDER Y17-8269,,,13,-0.1,61,92,0.19,1.12,18,-3,12,7,18,0.44,0.04,4,-0.05,0.01,196,48
PM540,,C84 - D104,C84 - VF ACQUISITION D104,,,13,-1.2,54,82,0.18,0.63,20,-2,11,7,17,0.32,0.05,8,0.02,0.03,183,48
PM541,,C84 - D172,C84 - VF SILVER BOW D172,,,11,0.1,66,105,0.24,0.95,20,-1,13,8,17,0.33,0.04,16,0.08,0.01,191,50
PM542,,C84 - D706,C84 - DOING RIGHT,,,12,-0.8,54,84,0.19,0.49,22,-4,10,7,18,0.29,0.05,6,-0.11,0.01,183,48
PM543,,C84 - 3036,C84 - WOOD EMMETT 3036,,,15,-1.7,54,80,0.16,0.76,19,-1,10,9,18,0.23,0.06,6,-0.09,0.02,186,46
PM544,,C84 - 2385,C84 - ODOHERTY   2385,,,11,-0.2,61,90,0.19,0.96,21,-3,8,7,17,0.19,0.04,6,-0.14,0,170,47
PM545,,C84 - 8355,C84 - FEDDES LIBERATION D108- 8355,,,12,-0.7,61,95,0.21,1.02,21,-3,9,7,18,0.46,0.07,16,-0.09,0.01,191,49
PM546,,C84 - 8269,C84 - FEDDES DEFENDER Y17-8269,,,13,-0.6,60,91,0.19,1.14,20,-3,12,8,18,0.44,0.04,4,-0.05,0.01,196,48
PM547,,C29 - D104,C29 - VF ACQUISITION D104,,,14,-2,48,71,0.15,0.43,19,-2,11,7,18,0.31,0.06,5,-0.04,0.02,185,47
PM548,,C29 - D172,C29 - VF SILVER BOW D172,,,12,-0.6,60,94,0.21,0.75,19,-1,12,7,18,0.32,0.05,13,0.02,0.01,194,49
PM549,,C29 - D706,C29 - DOING RIGHT,,,13,-1.5,48,73,0.16,0.29,21,-4,10,6,18,0.28,0.05,3,-0.17,0.01,186,47
PM550,,C29 - 3036,C29 - WOOD EMMETT 3036,,,16,-2.5,48,69,0.13,0.56,18,-1,9,9,18,0.22,0.06,3,-0.14,0.01,189,45
PM551,?,C29 - 2385,C29 - ODOHERTY   2385,,,12,-1,55,80,0.16,0.76,20,-3,8,7,18,0.19,0.04,3,-0.19,0,173,46
PM552,,C29 - 8355,C29 - FEDDES LIBERATION D108- 8355,,,13,-1.5,55,84,0.18,0.82,20,-3,9,7,19,0.44,0.08,13,-0.14,0.01,194,48
PM553,,C29 - 8269,C29 - FEDDES DEFENDER Y17-8269,,,14,-1.4,54,80,0.16,0.94,19,-3,12,7,19,0.44,0.04,1,-0.1,0.01,199,47
